rank,name,score,num,dir,act,type,year,city,qu
116,菊次郎的夏天,8.7,192788人评价,北野武,"主演:,北野武,Takeshi,Kitano,/,关口雄介,Yus...",喜剧,1999,日本,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
117,幸福终点站,8.6,236162人评价,史蒂文·斯皮尔伯格,"主演:,汤姆·汉克斯,Tom,Hanks...",爱情,2004,美国,有时候幸福需要等一等。 
118,岁月神偷,8.6,320365人评价,罗启锐,"主演:,吴君如,Sandra,Ng,/,任达华,Simon,Yam,/,钟绍...",家庭,2010,香港,岁月流逝，来日可追。
119,小森林 夏秋篇,8.9,140560人评价,森淳一,"主演:,桥本爱,Ai,Hashimoto,/,三浦贵大,Takahir...",剧情,2014,日本,那些静得只能听见呼吸的日子里，你明白孤独即生活。
120,借东西的小人阿莉埃蒂,8.7,229095人评价,米林宏昌,"主演:,志田未来,Mirai,Shida,/,神木...",冒险,2010,日本,曾经的那段美好会沉淀为一辈子的记忆。
121,喜剧之王,8.5,335438人评价,周星驰,"/,李力持,Lik-Chi,Lee,主演:,周星驰,Stephen,Ch...",爱情,1999,香港,我是一个演员。
122,神偷奶爸,8.5,399796人评价,皮艾尔·柯芬,"/,克里斯·雷纳德,Chris,Renaud,主演:,...",冒险,2010,美国,Mr. I Don't Care其实也有Care的时候。
123,七武士,9.2,81122人评价,黑泽明,"主演:,三船敏郎,Toshirô,Mifune,/,志村乔,...",剧情,1954,日本,时代悲歌。
124,杀人回忆,8.7,219961人评价,奉俊昊,"主演:,宋康昊,Kang-ho,Song,/,金相庆,Sang-kyun...",惊悚,2003,韩国,关于连环杀人悬案的集体回忆。
125,海洋,9,101888人评价,雅克·贝汉,"/,雅克·克鲁奥德,Jacques,Cluzaud,主演:...",纪录片,2009,法国,大海啊，不全是水。
126,真爱至上,8.5,329220人评价,理查德·柯蒂斯,"主演:,休·格兰特,Hugh,Grant,/,柯林...",爱情,2003,英国,爱，是个动词。
127,电锯惊魂,8.7,208452人评价,詹姆斯·温,"主演:,雷·沃纳尔,Leigh,Whannell,/,加利·艾...",恐怖,2004,美国,真相就在眼前。
128,贫民窟的百万富翁,8.5,411499人评价,丹尼·鲍尔,"/,洛芙琳·坦丹,Loveleen,Tandan,主演:,戴夫...",爱情,2008,英国,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
129,谍影重重3,8.7,189200人评价,保罗·格林格拉斯,"主演:,马特·达蒙,Matt,Damon,/,...",惊悚,2007,美国,像吃了苏打饼一样干脆的电影。
130,喜宴,8.8,147564人评价,李安,"主演:,赵文瑄,Winston,Chao,/,郎雄,Sihung,Lung,/,归亚...",家庭,1993,台湾,中国家庭的喜怒哀乐忍。
131,雨人,8.6,218572人评价,巴瑞·莱文森,"主演:,达斯汀·霍夫曼,Dustin,Hoffman,...",剧情,1988,美国,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
132,记忆碎片,8.5,292516人评价,克里斯托弗·诺兰,"主演:,盖·皮尔斯,Guy,Pearce,/...",惊悚,2000,美国,一个针管引发的血案。
133,东邪西毒,8.6,263026人评价,王家卫,"Wong,主演:,张国荣,Leslie,Cheung,/,张曼玉,Maggie,C...",古装,1994,香港,电影诗。
134,怪兽电力公司,8.6,254299人评价,彼特·道格特,"/,大卫·斯沃曼,David,Silverman,主演:,约...",奇幻,2001,美国,不要给它起名字，起了名字就有感情了。
135,疯狂原始人,8.7,387215人评价,科克·德·米科,"Micco,/,克里斯·桑德斯,Chris,Sanders,主演...",冒险,2013,美国,老少皆宜，这就是好莱坞动画的魅力。
136,黑天鹅,8.5,435835人评价,达伦·阿罗诺夫斯基,"主演:,娜塔莉·波特曼,Natalie...",惊悚,2010,美国,黑暗之美。
137,英雄本色,8.7,176094人评价,吴宇森,"主演:,周润发,Yun-Fat,Chow,/,狄龙,Lung,Ti,/,张国...",犯罪,1986,香港,英雄泪短，兄弟情长。 
138,燃情岁月,8.7,153533人评价,爱德华·兹威克,"主演:,安东尼·霍普金斯,Anthony,Hopki...",家庭,1994,美国,传奇，不是每个人都可以拥有。
139,虎口脱险,8.9,111337人评价,杰拉尔·乌里,"主演:,路易·德·菲耐斯,Louis,de,Funès...",战争,1966,法国,永远看不腻的喜剧。
140,卢旺达饭店,8.8,125641人评价,特瑞·乔治,"主演:,唐·钱德尔,Don,Cheadle,/,苏菲·奥...",战争,2004,英国,当这个世界闭上双眼，他却敞开了怀抱。
141,恋恋笔记本,8.5,296702人评价,尼克·卡索维茨,"主演:,瑞恩·高斯林,Ryan,Gosling,/...",爱情,2004,美国,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
142,傲慢与偏见,8.4,316995人评价,乔·怀特,"主演:,凯拉·奈特莉,Keira,Knightley,/,马修·...",爱情,2005,法国,爱是摈弃傲慢与偏见之后的曙光。
143,7号房的礼物,8.7,185967人评价,李焕庆,"主演:,柳承龙,Seung-yong,Ryoo,/,朴信惠,Shi...",家庭,2013,韩国,《我是山姆》的《美丽人生》。
144,海边的曼彻斯特,8.6,203519人评价,肯尼斯·罗纳根,"主演:,卡西·阿弗莱克,Casey,Affle...",家庭,2016,美国,我们都有权利不与自己的过去和解。
145,哈利·波特与死亡圣器(下),8.6,286573人评价,大卫·叶茨,"主演:,丹尼尔·雷德克里夫,Daniel,Radcliffe...",冒险,2011,美国,10年的完美句点。
